2016-11-22 16:10:37,326 [main] INFO  marytts.main Mary starting up...
2016-11-22 16:10:37,328 [main] INFO  marytts.main Specification version 5.2
2016-11-22 16:10:37,329 [main] INFO  marytts.main Implementation version unknown
2016-11-22 16:10:37,329 [main] INFO  marytts.main Running on a Java 1.8.0_92 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2016-11-22 16:10:37,410 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2016-11-22 16:10:37,413 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2016-11-22 16:10:37,413 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2016-11-22 16:10:37,420 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2016-11-22 16:10:37,420 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2016-11-22 16:10:37,421 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2016-11-22 16:10:37,421 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2016-11-22 16:10:37,422 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2016-11-22 16:10:37,422 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2016-11-22 16:10:37,424 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2016-11-22 16:10:37,425 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2016-11-22 16:10:37,426 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2016-11-22 16:10:37,426 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2016-11-22 16:10:37,427 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2016-11-22 16:10:37,427 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2016-11-22 16:10:37,427 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2016-11-22 16:10:37,428 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2016-11-22 16:10:37,429 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2016-11-22 16:10:37,429 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2016-11-22 16:10:37,553 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2016-11-22 16:10:37,555 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2016-11-22 16:10:37,606 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2016-11-22 16:10:37,606 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2016-11-22 16:10:37,639 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2016-11-22 16:10:37,641 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2016-11-22 16:10:37,641 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2016-11-22 16:10:37,642 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2016-11-22 16:10:37,646 [main] INFO  marytts.UnitSelectionSynthesizer started.
2016-11-22 16:10:37,647 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2016-11-22 16:10:37,647 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2016-11-22 16:10:37,661 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-22 16:10:37,710 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-22 16:10:37,804 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2016-11-22 16:10:37,804 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2016-11-22 16:10:37,807 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-22 16:10:37,849 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-22 16:10:37,937 [main] INFO  marytts.Voice Registering voice `dfki-spike-hsmm': male, locale en_GB
2016-11-22 16:10:37,937 [main] INFO  marytts.Voice New default voice for locale en_GB: dfki-spike-hsmm (desire 0)
2016-11-22 16:10:37,941 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-22 16:10:37,990 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-22 16:10:38,095 [main] INFO  marytts.Voice Registering voice `dfki-prudence-hsmm': female, locale en_GB
2016-11-22 16:10:38,097 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-22 16:10:38,129 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-22 16:10:38,210 [main] INFO  marytts.Voice Registering voice `dfki-obadiah-hsmm': male, locale en_GB
2016-11-22 16:10:38,213 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-22 16:10:38,236 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-22 16:10:38,309 [main] INFO  marytts.Voice Registering voice `cmu-rms-hsmm': male, locale en_US
2016-11-22 16:10:38,311 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-22 16:10:38,327 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-22 16:10:38,376 [main] INFO  marytts.Voice Registering voice `cmu-bdl-hsmm': male, locale en_US
2016-11-22 16:10:38,376 [main] INFO  marytts.HMMSynthesizer started.
2016-11-22 16:10:38,376 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2016-11-22 16:10:38,376 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2016-11-22 16:10:38,378 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2016-11-22 16:10:38,378 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2016-11-22 16:10:38,379 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2016-11-22 16:10:38,382 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_GB
2016-11-22 16:10:38,382 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_GB
2016-11-22 16:10:38,382 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2016-11-22 16:10:38,495 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2016-11-22 16:10:38,495 [main] INFO  marytts.SableParser Starting power-on self test.
2016-11-22 16:10:38,495 [main] INFO  marytts.SableParser Power-on self test complete.
2016-11-22 16:10:38,535 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2016-11-22 16:10:38,535 [main] INFO  marytts.SSMLParser Starting power-on self test.
2016-11-22 16:10:38,535 [main] INFO  marytts.SSMLParser Power-on self test complete.
2016-11-22 16:10:38,575 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2016-11-22 16:10:38,575 [main] INFO  marytts.APMLParser Starting power-on self test.
2016-11-22 16:10:38,575 [main] INFO  marytts.APMLParser Power-on self test complete.
2016-11-22 16:10:38,594 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2016-11-22 16:10:38,594 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2016-11-22 16:10:38,594 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2016-11-22 16:10:38,594 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2016-11-22 16:10:38,618 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-22 16:10:38,618 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-22 16:10:38,618 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2016-11-22 16:10:38,618 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2016-11-22 16:10:38,618 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2016-11-22 16:10:38,623 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2016-11-22 16:10:38,623 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-22 16:10:38,623 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-22 16:10:38,623 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2016-11-22 16:10:38,623 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-11-22 16:10:38,623 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-11-22 16:10:38,623 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2016-11-22 16:10:38,623 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2016-11-22 16:10:38,623 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2016-11-22 16:10:38,623 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2016-11-22 16:10:38,624 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2016-11-22 16:10:38,624 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2016-11-22 16:10:38,624 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2016-11-22 16:10:38,624 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2016-11-22 16:10:38,624 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2016-11-22 16:10:38,624 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2016-11-22 16:10:38,624 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2016-11-22 16:10:38,624 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2016-11-22 16:10:38,624 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2016-11-22 16:10:38,625 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2016-11-22 16:10:38,625 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2016-11-22 16:10:38,625 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2016-11-22 16:10:38,625 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2016-11-22 16:10:38,625 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2016-11-22 16:10:38,636 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-22 16:10:38,636 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-22 16:10:38,636 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2016-11-22 16:10:38,637 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-11-22 16:10:38,637 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-11-22 16:10:38,637 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2016-11-22 16:10:38,638 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-22 16:10:38,639 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-22 16:10:38,639 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2016-11-22 16:10:38,639 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-22 16:10:38,639 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-22 16:10:38,642 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2016-11-22 16:10:38,642 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-22 16:10:38,643 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-22 16:10:38,643 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2016-11-22 16:10:38,643 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2016-11-22 16:10:38,645 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2016-11-22 16:10:38,645 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2016-11-22 16:10:38,645 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-11-22 16:10:38,645 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-11-22 16:10:38,645 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2016-11-22 16:10:39,131 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-22 16:10:39,131 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-22 16:10:39,132 [main] INFO  marytts.main Startup complete.
2016-11-22 16:10:39,214 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", audio "WAVE")
2016-11-22 16:10:39,214 [main] INFO  marytts.R 1 Handling request using the following modules:
2016-11-22 16:10:39,214 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2016-11-22 16:10:39,214 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 Handling request using the following modules:
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2016-11-22 16:10:39,215 [main] INFO  marytts.R 1 Next module: JTokeniser
2016-11-22 16:10:39,216 [main] INFO  marytts.R 1 Next module: Preprocess
2016-11-22 16:10:39,217 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2016-11-22 16:10:39,219 [main] INFO  marytts.R 1 Next module: JPhonemiser
2016-11-22 16:10:39,219 [main] INFO  marytts.R 1 Next module: Prosody
2016-11-22 16:10:39,220 [main] INFO  marytts.R 1 Next module: PronunciationModel
2016-11-22 16:10:39,221 [main] INFO  marytts.R 1 Next module: AcousticModeller
2016-11-22 16:10:39,230 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2016-11-22 16:10:39,230 [main] INFO  marytts.PStream Global variance optimization
2016-11-22 16:10:39,230 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=1
2016-11-22 16:10:39,232 [main] INFO  marytts.R 1 Next module: Synthesis
2016-11-22 16:10:39,247 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2016-11-22 16:10:39,247 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2016-11-22 16:10:39,248 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=8  Total number of states numState=40
2016-11-22 16:10:39,248 [main] INFO  marytts.HTSEngine Total number of frames=197  Number of voiced frames=94
2016-11-22 16:10:39,249 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2016-11-22 16:10:39,249 [main] INFO  marytts.PStream Global variance optimization
2016-11-22 16:10:39,252 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=24
2016-11-22 16:10:39,254 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=24
2016-11-22 16:10:39,256 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=19
2016-11-22 16:10:39,258 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=27
2016-11-22 16:10:39,259 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=24
2016-11-22 16:10:39,260 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=5
2016-11-22 16:10:39,261 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=21
2016-11-22 16:10:39,261 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=3
2016-11-22 16:10:39,261 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=3
2016-11-22 16:10:39,262 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=54
2016-11-22 16:10:39,263 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=15
2016-11-22 16:10:39,263 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=10
2016-11-22 16:10:39,264 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=53
2016-11-22 16:10:39,265 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=17
2016-11-22 16:10:39,268 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=77
2016-11-22 16:10:39,269 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=64
2016-11-22 16:10:39,270 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=11
2016-11-22 16:10:39,271 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=15
2016-11-22 16:10:39,272 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=15
